onetsoc_code,alternate_title,short_title,sources
19-4021.00,Biology Laboratory Assistant,,"04,06"
19-4021.00,Biology Research Assistant,,"04,06"
19-4021.00,Biology Specimen Technician,,"06,08"
19-4021.00,Biomedical Technician,,10
19-4021.00,Biotechnician,,09
19-4021.00,Biotechnologist,,"04,06"
19-4021.00,Botany Laboratory Assistant,,"04,06"
19-4021.00,Culture Media Laboratory Assistant,,08
19-4021.00,Dairy Technologist,,08
19-4021.00,Downstream Biomanufacturing Technician,,"03,08"
19-4021.00,Downstream Technician,,10
19-4021.00,Environmental Technician,,02
19-4021.00,Feed Research Aide,,08
19-4021.00,Fiber Technologist,,08
19-4021.00,Fowl Blood Tester,,08
19-4021.00,Game Technician,,"04,06"
19-4021.00,Herbarium Worker,,08
19-4021.00,Laboratory Assistant,,02
19-4021.00,Laboratory Technician,,"02,04,10"
19-4021.00,Laboratory Worker,,04
19-4021.00,Marine Fisheries Technician,,"02,04"
19-4021.00,Medical Lab Assistant,,09
19-4021.00,Medical Research Assistant,,09
19-4021.00,Microbiology QC Tech (Microbiology Quality Control Technician),Microbiology QC Tech,"03,08"
19-4021.00,Microbiology Technician,,"02,04,10"
19-4021.00,Microbiology Technologist,,10
19-4021.00,Poultry Inseminator,,08
19-4021.00,Research and Development Associate (R & D Associate),R & D Associate,10
19-4021.00,Research Assistant,,02
19-4021.00,Research Associate,,"02,10"
19-4021.00,Research Specialist,,02
19-4021.00,Research Technician,,"02,10"
19-4021.00,Seed Analyst,,08
19-4021.00,Specimen Technician,,"04,06"
19-4021.00,Upstream Biomanufacturing Technician,,"03,08"
19-4021.00,Wildlife Biology Technician,,02
19-4031.00,Analysis Tester,,04
19-4031.00,Analytical Laboratory Technician (Analytical Lab Technician),Analytical Lab Technician,02
19-4031.00,Analytical Technician,,"02,10"
19-4031.00,Assayer,,"04,06,08"
19-4031.00,Bleach Analyst,,"04,06"
19-4031.00,Chemical Analyst,,02
19-4031.00,Chemical Analytical Sampler,,"04,06"
19-4031.00,Chemical Dependency Technician (Chemical Dependency Tech),Chemical Dependency Tech,10
19-4031.00,Chemical Engineering Technician,,08
19-4031.00,Chemical Laboratory Assistant (Chemical Lab Assistant),Chemical Lab Assistant,"04,06"
19-4031.00,Chemical Laboratory Technician (Chemical Lab Technician),Chemical Lab Technician,"02,04,06,08"
19-4031.00,Chemical Laboratory Tester (Chemical Lab Tester),Chemical Lab Tester,"04,06"
19-4031.00,Chemical Process Technician (Chemical Process Tech),Chemical Process Tech,10
19-4031.00,Chemical Research Worker,,"04,06"
19-4031.00,Chemical Technician,,"02,04,10"
19-4031.00,Chemical Tester,,"04,06"
19-4031.00,Chemist Assistant,,"04,06"
19-4031.00,Chemist Helper,,"04,06"
19-4031.00,Chemistry QC Tech (Chemistry Quality Control Technician),Chemistry QC Tech,"03,08"
19-4031.00,Chemistry Research Assistant,,"04,06"
19-4031.00,Chemistry Technician,,10
19-4031.00,Cloth Tester,,08
19-4031.00,Color Consultant,,"04,06"
19-4031.00,Color Maker,,04
19-4031.00,Color Maker Formulator,,"04,06"
19-4031.00,Color Matcher,,"04,06"
19-4031.00,Color Tester,,"04,06"
19-4031.00,Colorist,,04
19-4031.00,Colorist Formulator,,"04,06"
19-4031.00,Concrete Analyst,,"04,06"
19-4031.00,Concrete Technician,,"04,06"
19-4031.00,Concrete Tester,,"04,06"
19-4031.00,Control Analyst,,"04,06"
19-4031.00,Dry Color Tester,,"04,06"
19-4031.00,Dye Colorist Formulator,,"04,06"
19-4031.00,Dye Expert,,"04,06"
19-4031.00,Dye Lab Technician,,08
19-4031.00,Fiber Analyst,,"04,06"
19-4031.00,Field Laboratory Operator (Field Lab Operator),Field Lab Operator,"04,06"
19-4031.00,Flue Gas Analyst,,"04,06"
19-4031.00,Formulation Technician,,"02,10"
19-4031.00,Formulator,,"02,04,06,10"
19-4031.00,Formulator Compounder,,"04,06"
19-4031.00,Gold Assayer,,"04,06"
19-4031.00,Grey Goods Tester,,"04,06"
19-4031.00,Inorganic Chemical Technician,,04
19-4031.00,Laboratory Analyst (Lab Analyst),Lab Analyst,02
19-4031.00,Laboratory Assistant (Lab Assistant),Lab Assistant,08
19-4031.00,Laboratory Chemical Assistant (Lab Chemical Assistant),Lab Chemical Assistant,"04,06"
19-4031.00,Laboratory Cureman (Lab Cureman),Lab Cureman,"04,06"
19-4031.00,Laboratory Technician (Lab Tech),Lab Tech,"02,04,08,10"
19-4031.00,Laboratory Tester (Lab Tester),Lab Tester,"02,08"
19-4031.00,Laboratory Worker (Lab Worker),Lab Worker,04
19-4031.00,Materials Analyst,,"04,06"
19-4031.00,Organic Preparation Analyst (Organic Prep Analyst),Organic Prep Analyst,02
19-4031.00,Organic Preparation Technician (Organic Prep Technician),Organic Prep Technician,08
19-4031.00,Paint Formulator,,"04,06"
19-4031.00,Paint Laboratory Technician (Paint Lab Technician),Paint Lab Technician,09
19-4031.00,Paint Technician,,"04,06"
19-4031.00,Paint Tester,,"04,06"
19-4031.00,Perfumer,,08
19-4031.00,Plastic Technician,,"04,06"
19-4031.00,Polymer Tester,,"04,06"
19-4031.00,Process Development Associate,,10
19-4031.00,Pyrotechnist,,"04,06"
19-4031.00,Quality Control Laboratory Technician (QC Lab Tech),QC Lab Tech,02
19-4031.00,Quality Control Technician (QC Tech),QC Tech,02
19-4031.00,Rayon Tester,,"04,06"
19-4031.00,Research and Development Associate (R & D Associate),R & D Associate,10
19-4031.00,Research Technician,,"02,10"
19-4031.00,Rubber Compounder Formulator,,"04,06"
19-4031.00,Scientific Research Associate,,10
19-4031.00,Spectrograph Operator,,"04,06"
19-4031.00,Spectrographer,,"04,06"
19-4031.00,Spectroscopist,,"04,06"
19-4031.00,Technical Staff Member,,10
19-4031.00,Textile Colorist Formulator,,"04,06"
19-4031.00,Textile Technologist,,"04,06"
19-4031.00,Viscosity Inspector,,"04,06"
19-4031.00,Viscosity Worker,,"04,06"
19-4031.00,Water Analyst,,"04,06"
19-4031.00,Water Quality Technician,,02
19-4042.00,Air Analyst,,"04,08"
19-4042.00,Air Pollution Auditor,,01
19-4042.00,Air Quality Technician (Air Quality Tech),Air Quality Tech,"01,04"
19-4042.00,Analytical Lab Tech (Analytical Laboratory Technician),Analytical Lab Tech,01
19-4042.00,Asbestos Abatement Technician (Asbestos Abatement Tech),Asbestos Abatement Tech,01
19-4042.00,Asbestos Microscopist,,08
19-4042.00,Biological Lab Tech (Biological Laboratory Technician),Biological Lab Tech,01
19-4042.00,Biotechnician,,09
19-4042.00,Certified Indoor Environmentalist,,04
19-4042.00,Chemical Lab Tech (Chemical Laboratory Technician),Chemical Lab Tech,01
19-4042.00,Compliance Technician (Compliance Tech),Compliance Tech,10
19-4042.00,Decontamination Technician (Decontamination Tech),Decontamination Tech,01
19-4042.00,Emergency Spill Response Technician (Emergency Spill Response Tech),Emergency Spill Response Tech,01
19-4042.00,Energy and Conservation Technician (Energy and Conservation Tech),Energy and Conservation Tech,01
19-4042.00,Environmental Analyst,,"04,06"
19-4042.00,Environmental Compliance Technician (Environmental Compliance Tech),Environmental Compliance Tech,"01,04"
19-4042.00,Environmental Field Technician (Environmental Field Tech),Environmental Field Tech,10
19-4042.00,Environmental Health Officer (EHO),EHO,02
19-4042.00,Environmental Lab Tech (Environmental Laboratory Technician),Environmental Lab Tech,09
19-4042.00,Environmental Monitoring Technician (Environmental Monitoring Tech),Environmental Monitoring Tech,10
19-4042.00,Environmental Property Assessor,,01
19-4042.00,Environmental Sampling Technician (Environmental Sampling Tech),Environmental Sampling Tech,08
19-4042.00,Environmental Science Technician (Environmental Science Tech),Environmental Science Tech,04
19-4042.00,Environmental Technician (Environmental Tech),Environmental Tech,"02,10"
19-4042.00,Facility Environmental Technician (Facility Environmental Tech),Facility Environmental Tech,01
19-4042.00,Field Environmental Technician (Field Environmental Tech),Field Environmental Tech,10
19-4042.00,Field Sampling Technician (Field Sampling Tech),Field Sampling Tech,01
19-4042.00,Ground Water Monitoring Technician (Ground Water Monitoring Tech),Ground Water Monitoring Tech,04
19-4042.00,Ground Water Technician (Ground Water Tech),Ground Water Tech,01
19-4042.00,Hazardous Materials Analyst (Hazmat Analyst),Hazmat Analyst,01
19-4042.00,Hazardous Materials Technician (Hazardous Materials Tech),Hazardous Materials Tech,01
19-4042.00,Hazardous Waste Technician (Hazardous Waste Tech),Hazardous Waste Tech,01
19-4042.00,Industrial Ecology Technician (Industrial Ecology Tech),Industrial Ecology Tech,01
19-4042.00,Industrial Pretreatment Program Specialist (IPP Specialist),IPP Specialist,02
19-4042.00,Infectious Waste Technician (Infectious Waste Tech),Infectious Waste Tech,"01,04"
19-4042.00,Lab Assistant (Laboratory Assistant),Lab Assistant,08
19-4042.00,Lab Technician (Laboratory Technician),Lab Technician,02
19-4042.00,Lead-Based Paint Technician (Lead-Based Paint Tech),Lead-Based Paint Tech,01
19-4042.00,Leaking Underground Storage Tank Remover (LUST Remover),LUST Remover,01
19-4042.00,Materials Exchange Specialist,,01
19-4042.00,Microbiological Lab Technician (Microbiological Laboratory Technician),Microbiological Lab Technician,01
19-4042.00,Mobile Lab Technician (Mobile Laboratory Technician),Mobile Lab Technician,01
19-4042.00,Monitoring Technician (Monitoring Tech),Monitoring Tech,10
19-4042.00,Natural Resources Technician (Natural Resources Tech),Natural Resources Tech,09
19-4042.00,Pollution Control Technician (Pollution Control Tech),Pollution Control Tech,"04,06,08"
19-4042.00,Prep Technician (Preparation Technician),Prep Technician,10
19-4042.00,Process Environmental Technician (Process Environmental Tech),Process Environmental Tech,01
19-4042.00,Public Health Sanitarian,,02
19-4042.00,Public Health Sanitarian Technician (Public Health Sanitarian Tech),Public Health Sanitarian Tech,04
19-4042.00,Radon Inspector,,"01,04"
19-4042.00,Remediation Technician (Remediation Tech),Remediation Tech,01
19-4042.00,Sample Prep Tech (Sample Preparation Technician),Sample Prep Tech,01
19-4042.00,Sample Technician (Sample Tech),Sample Tech,10
19-4042.00,Sanitarian,,02
19-4042.00,Sanitarian Specialist,,02
19-4042.00,Smog Technician (Smog Tech),Smog Tech,09
19-4042.00,Smoke Tester,,08
19-4042.00,Soil Analyst,,01
19-4042.00,Soil Lab Technician (Soil Laboratory Technician),Soil Lab Technician,02
19-4042.00,Solid Waste Analyst,,01
19-4042.00,Solid Waste Landfill Technician (Solid Waste Landfill Tech),Solid Waste Landfill Tech,01
19-4042.00,Solid Waste Technician (Solid Waste Tech),Solid Waste Tech,01
19-4042.00,Surface Water Technician (Surface Water Tech),Surface Water Tech,01
19-4042.00,"Treatment, Storage, and Disposal Facility Technician (TSDF Technician)",TSDF Technician,01
19-4042.00,Waste Minimization Technician (Waste Minimization Tech),Waste Minimization Tech,"01,04"
19-4042.00,Waste Specialist,,01
19-4042.00,Wastewater Analyst,,01
19-4042.00,Water Analyst,,01
19-4042.00,Water Quality Analyst,,02
19-4042.00,Water Quality Specialist,,02
19-4042.00,Water Quality Technician (Water Quality Tech),Water Quality Tech,09
19-4042.00,Water Treatment Specialist,,09
19-4043.00,Acid Tester,,08
19-4043.00,Chalk Tester,,08
19-4043.00,Construction Material Technician,,08
19-4043.00,Construction Materials Field Technician (Construction Materials Field Tech),Construction Materials Field Tech,10
19-4043.00,Construction Materials Testing Technician (Construction Materials Testing Tech),Construction Materials Testing Tech,10
19-4043.00,Core Inspector,,02
19-4043.00,Crude Tester,,"04,08"
19-4043.00,Directional Drill Locator,,08
19-4043.00,Directional Drill Operator,,10
19-4043.00,Drilling Fluids Specialist,,08
19-4043.00,Echometer Engineer,,08
19-4043.00,Electric Well Logging Operator,,08
19-4043.00,Electrical Logger,,08
19-4043.00,Electrical Logging Operator,,08
19-4043.00,Electrical Prospecting Observer,,08
19-4043.00,Electrical Prospecting Operator,,08
19-4043.00,Electrolog Operator,,08
19-4043.00,Electron Microprobe Operator,,08
19-4043.00,Environmental Field Services Technician,,02
19-4043.00,Environmental Sampling Technician,,02
19-4043.00,Extractions Technologist,,08
19-4043.00,Field Construction Materials Technician,,08
19-4043.00,Field Construction Materials Testing Technician,,08
19-4043.00,Field Evaluator,,08
19-4043.00,Field Geotechnical Technician,,08
19-4043.00,Field Observer,,08
19-4043.00,Field Scout,,08
19-4043.00,Field Tester,,08
19-4043.00,Gas Analyst,,08
19-4043.00,Gas Prover,,08
19-4043.00,Gas Tester,,08
19-4043.00,Gasoline Tester,,08
19-4043.00,Geological Aide,,08
19-4043.00,Geological E-Logger,,02
19-4043.00,Geological Sample Tester,,"04,08"
19-4043.00,Geological Technician,,02
19-4043.00,Geology Associate,,08
19-4043.00,Geology Technician,,08
19-4043.00,Geophysical Computer,,08
19-4043.00,Geophysical E-Logger,,08
19-4043.00,Geophysical Prospector,,"04,08"
19-4043.00,Geophysical Support Specialist,,08
19-4043.00,Geoscience Specialist,,08
19-4043.00,Geoscience Technician,,02
19-4043.00,Geospatial Technician,,08
19-4043.00,Geotechnical Field Technician (Geotechnical Field Tech),Geotechnical Field Tech,10
19-4043.00,Geotechnical Properties Technician,,08
19-4043.00,Geotechnical Technician,,08
19-4043.00,Geotechnician,,02
19-4043.00,Gravity Meter Operator,,08
19-4043.00,Gravity Prospecting Observer,,08
19-4043.00,Gravity Prospecting Operator,,08
19-4043.00,Laboratory Assistant,,08
19-4043.00,Laboratory Technician,,08
19-4043.00,Laboratory Worker,,08
19-4043.00,Line Locator,,08
19-4043.00,Locater,,08
19-4043.00,Locater Operator,,08
19-4043.00,Locater Technician,,08
19-4043.00,Locator,,08
19-4043.00,Locator Specialist,,08
19-4043.00,Magnetic Locater,,08
19-4043.00,Magnetic Observer,,08
19-4043.00,Magnetic Prospecting Operator,,08
19-4043.00,Magnetometer Operator,,"04,08"
19-4043.00,Material Handling Technician,,08
19-4043.00,Material Technician,,08
19-4043.00,Materials Management Technician,,08
19-4043.00,Materials Technician,,02
19-4043.00,Materials Testing Technician,,08
19-4043.00,Meter Operator,,08
19-4043.00,Mineral Technologist,,"04,08"
19-4043.00,Mining Technician,,"04,08"
19-4043.00,Mud Analysis Operator,,08
19-4043.00,Mud Analysis Well-Logging Operator,,08
19-4043.00,Mud Logger,,"04,08"
19-4043.00,Observer,,08
19-4043.00,Oil Analyst,,08
19-4043.00,Oil and Gas Exploration Technician,,08
19-4043.00,Oil Field Tester,,08
19-4043.00,Oil Laboratory Analyst,,08
19-4043.00,Oil Prospecting Observer,,08
19-4043.00,Oil Scout,,08
19-4043.00,Oil Tester,,08
19-4043.00,Oil Well Directional Surveyor,,08
19-4043.00,Oil Well Logger,,08
19-4043.00,Ore Tester,,08
19-4043.00,Petroleum Analyst,,08
19-4043.00,Petroleum Refinery Tester,,08
19-4043.00,Petroleum Technician,,04
19-4043.00,Physical Science Technician,,02
19-4043.00,Quality Control Technician (QC Technician),QC Technician,08
19-4043.00,Research Associate,,08
19-4043.00,Scout Leaser,,08
19-4043.00,Section Plotter Operator,,08
19-4043.00,Seismic Computer,,08
19-4043.00,Seismic Interpreter,,"04,08"
19-4043.00,Seismic Observer,,"04,08"
19-4043.00,Seismic Plotter,,08
19-4043.00,Seismic Prospecting Observer,,08
19-4043.00,Seismograph Computer,,08
19-4043.00,Seismograph Observer,,08
19-4043.00,Seismograph Operator,,"04,08"
19-4043.00,Seismograph Recorder,,08
19-4043.00,Seismographer,,08
19-4043.00,Seismometer Operator,,08
19-4043.00,Sensitometrist,,08
19-4043.00,Soils Technician,,02
19-4043.00,Sounding Device Operator,,08
19-4043.00,Surface Logging Systems Logger (SLS Logger),SLS Logger,08
19-4043.00,Technical Operator,,08
19-4043.00,Temperature Logging Operator,,08
19-4043.00,Test Engine Evaluator,,08
19-4043.00,Test Engine Operator,,08
19-4043.00,Test Evaluator,,08
19-4043.00,Test Technician,,08
19-4043.00,Tester,,08
19-4043.00,Well Logger,,08
19-4043.00,Well Tester,,08
19-4044.00,Groundwater Monitoring Technician,,"04,08"
19-4044.00,Hydrography Technician,,08
19-4044.00,Hydrologic Aid,,08
19-4044.00,Hydrologic Technician,,08
19-4051.00,Accelerator Operator,,08
19-4051.00,Accelerator Technician,,08
19-4051.00,Auxiliary Operator,,02
19-4051.00,Cell Support Operator,,08
19-4051.00,Electric Systems Operator,,08
19-4051.00,Energy Systems Operator,,08
19-4051.00,Equipment Operation Instructor,,08
19-4051.00,Equipment Operator,,02
19-4051.00,Facilities Operator,,"08,10"
19-4051.00,Gamma Facilities Operator,,08
19-4051.00,Gamma Operator,,08
19-4051.00,Hot-Cell Technician,,08
19-4051.00,Licensed Nuclear Operator,,02
19-4051.00,Non Licensed Operator,,08
19-4051.00,Non-Licensed Nuclear Equipment Operator (NLO),NLO,02
19-4051.00,Non-Licensed Nuclear Plant Operator (NLO),NLO,02
19-4051.00,Non-Licensed Operator (NLO),NLO,08
19-4051.00,Nuclear Auxiliary Operator,,02
19-4051.00,Nuclear Equipment Operator (NEO),NEO,02
19-4051.00,Nuclear Fuel Enrichment Technician,,08
19-4051.00,Nuclear Fuel Processing Technician,,08
19-4051.00,Nuclear Monitoring Technician,,"04,08"
19-4051.00,Nuclear Operations Specialist,,08
19-4051.00,Nuclear Plant Equipment Operator (NAPEO),NAPEO,02
19-4051.00,Nuclear Power Plant Process Control Worker,,08
19-4051.00,Nuclear Reactor Technician,,08
19-4051.00,Nuclear Station Operator,,08
19-4051.00,Nuclear Technician,,"08,10"
19-4051.00,Operation Specialist,,08
19-4051.00,Operations Technician,,02
19-4051.00,Radiation Protection Technician,,"04,08"
19-4051.00,Radiochemical Technician,,"04,08"
19-4051.00,Radioisotope Production Operator,,08
19-4051.00,Systems Operator,,02
19-4051.00,Test and Research Reactor Operator,,08
19-4051.02,Cathodic Protection Technician,,10
19-4051.02,Chemical Radiation Technician,,08
19-4051.02,Decontaminator,,08
19-4051.02,Health Physics Technician (HP Tech),HP Tech,"02,08"
19-4051.02,Instrumentation Control Specialist,,10
19-4051.02,Laboratory Control Specialist,,10
19-4051.02,Metallographic Technician,,10
19-4051.02,Nuclear Chemistry Technician,,02
19-4051.02,Nuclear Control Technician,,10
19-4051.02,Nuclear Technician,,"04,06,10"
19-4051.02,Nuclear Worker Technician,,10
19-4051.02,Radiation Control Specialist,,10
19-4051.02,Radiation Control Technician (Radcon Technician),Radcon Technician,02
19-4051.02,Radiation Monitor,,"04,06,08"
19-4051.02,Radiation Protection Monitor,,10
19-4051.02,Radiation Protection Specialist (RP Specialist),RP Specialist,02
19-4051.02,Radiation Protection Technician (RPT),RPT,02
19-4051.02,Radiation Technician,,02
19-4051.02,Radiochemical Technician,,02
19-4051.02,Systems Protection Technician,,10
19-4061.00,Bilingual Research Interviewer,,10
19-4061.00,Clinical Research Assistant,,02
19-4061.00,Data Analyst,,"02,10"
19-4061.00,Economic Research Assistant,,04
19-4061.00,Economist Research Assistant,,04
19-4061.00,Graduate Assistant,,02
19-4061.00,Graduate Research Assistant,,02
19-4061.00,Historian Research Assistant,,04
19-4061.00,Laboratory Assistant,,10
19-4061.00,Market Research Interviewer,,10
19-4061.00,Political Science Research Assistant,,04
19-4061.00,Postdoctoral Research Associate,,03
19-4061.00,Psychologist Research Assistant,,04
19-4061.00,Research Aide,,02
19-4061.00,Research Assistant,,"02,10"
19-4061.00,Research Associate,,"02,10"
19-4061.00,Research Data Analyst,,10
19-4061.00,Research Interviewer,,10
19-4061.00,Research Scientist,,"02,10"
19-4061.00,Research Technician,,02
19-4061.00,Social Research Assistant,,02
19-4061.00,Sociology Research Assistant,,04
19-4061.00,UX Research Assistant (User Experience Research Assistant),UX Research Assistant,10
19-4071.00,Biological Science Aide,,02
19-4071.00,Conservation Agent,,09
19-4071.00,Conservation Officer,,08
19-4071.00,Conservation Technician,,10
19-4071.00,Forest Technician,,"02,04"
19-4071.00,Forester Aide,,08
19-4071.00,Forestry Aid Technician,,10
19-4071.00,Forestry Aide,,"02,04"
19-4071.00,Forestry Aide Technician,,10
19-4071.00,Forestry Technician (Forestry Tech),Forestry Tech,"02,04,10"
19-4071.00,Grazing Aide,,"04,06"
19-4071.00,Grazing Examiner,,"04,06"
19-4071.00,Natural Resources Technician,,"02,04,10"
19-4071.00,Park Technician (Park Tech),Park Tech,10
19-4071.00,Range Technician,,10
19-4071.00,Resource Technician,,02
19-4071.00,Timber Appraiser,,02
19-4071.00,Timber Management Technician,,04
19-4071.00,Timber Sale Preparation Forestry Technician (Timber Sale Preparation Forestry Tech),Timber Sale Preparation Forestry Tech,10
19-4092.00,Ballistician,,"04,06,10"
19-4092.00,Ballistics Technician (Ballistics Tech),Ballistics Tech,"04,06"
19-4092.00,Biometric Fingerprint Technician (Biometric Fingerprint Tech),Biometric Fingerprint Tech,10
19-4092.00,Biometric Fingerprinting Technician (Biometric Fingerprinting Tech),Biometric Fingerprinting Tech,10
19-4092.00,Biometrician,,10
19-4092.00,Blood Splatter Analyst,,09
19-4092.00,Computer Forensics Technician (Computer Forensics Tech),Computer Forensics Tech,08
19-4092.00,Crime Lab Analyst (Crime Laboratory Analyst),Crime Lab Analyst,"02,09"
19-4092.00,Crime Lab Technician (Crime Laboratory Technician),Crime Lab Technician,"04,09"
19-4092.00,Crime Scene Analyst (CSA),CSA,02
19-4092.00,Crime Scene Examiner,,09
19-4092.00,Crime Scene Specialist,,02
19-4092.00,Crime Scene Technician (Crime Scene Tech),Crime Scene Tech,"02,04,08"
19-4092.00,Crime Specialist,,"04,06"
19-4092.00,Criminalist,,"02,08,09"
19-4092.00,Criminalist Technician (Criminalist Tech),Criminalist Tech,04
19-4092.00,Criminologist,,08
19-4092.00,CSI (Crime Scene Investigator),CSI,02
19-4092.00,DNA Analyst (Deoxyribonucleic Acid Analyst),DNA Analyst,"02,09"
19-4092.00,DNA Examiner (Deoxyribonucleic Acid Examiner),DNA Examiner,10
19-4092.00,DNA Tech (Deoxyribonucleic Acid Technician),DNA Tech,10
19-4092.00,Evidence Specialist,,10
19-4092.00,Evidence Technician (Evidence Tech),Evidence Tech,"02,04,06"
19-4092.00,Fingerprint Classifier,,"04,06"
19-4092.00,Fingerprint Technician (Fingerprint Tech),Fingerprint Tech,"02,10"
19-4092.00,Firearms Examiner,,02
19-4092.00,Firearms Specialist,,10
19-4092.00,Forensic Analyst,,"02,04,09"
19-4092.00,Forensic Computer Examiner,,"08,09"
19-4092.00,Forensic Document Examiner (FDE),FDE,02
19-4092.00,Forensic Examiner,,10
19-4092.00,Forensic Investigator,,08
19-4092.00,Forensic Lab Tech (Forensic Laboratory Technician),Forensic Lab Tech,02
19-4092.00,Forensic Science Examiner,,"02,10"
19-4092.00,Forensic Science Technician (Forensic Science Tech),Forensic Science Tech,"02,04"
19-4092.00,Forensic Scientist,,02
19-4092.00,Forensic Service Tech (Forensic Services Technician),Forensic Service Tech,02
19-4092.00,Forensic Specialist,,"02,10"
19-4092.00,Forensic Technician (Forensic Tech),Forensic Tech,"02,10"
19-4092.00,Forensic Technologist,,10
19-4092.00,Forensic Toxicologist,,09
19-4092.00,Latent Fingerprint Examiner,,02
19-4092.00,Latent Print Analyst,,02
19-4092.00,Latent Print Examiner,,02
19-4092.00,Trace Evidence Technician (Trace Evidence Tech),Trace Evidence Tech,04
19-4099.00,Assistant Oceanographer,,08
19-4099.00,Biomedical Instrument Technician,,"04,06"
19-4099.00,City Planning Aide,,04
19-4099.00,Colorist,,08
19-4099.00,Data Reduction Technician,,"04,06"
19-4099.00,Excavator,,08
19-4099.00,Gamma Facilities Operator,,"04,06"
19-4099.00,Gamma Ray Operator,,"04,06"
19-4099.00,Hot Cell Technician,,"04,06"
19-4099.00,Hydrographer,,08
19-4099.00,Laboratory Assistant,,04
19-4099.00,Laboratory Technician,,04
19-4099.00,Laboratory Worker,,06
19-4099.00,Laser Technician,,"04,06,08"
19-4099.00,Map Plotter,,"04,06"
19-4099.00,Metallurgical Laboratory Assistant,,"04,06"
19-4099.00,Meteorological Aide,,"04,06"
19-4099.00,Meteorological Technician,,"04,06"
19-4099.00,Missile Tracking Technician,,"04,06"
19-4099.00,Natural Resource Technician,,09
19-4099.00,Observer,,06
19-4099.00,Paleontological Helper,,08
19-4099.00,Paranormal Investigator,,08
19-4099.00,Physical Science Aide,,"04,06"
19-4099.00,Polygraph Examiner,,04
19-4099.00,Public Health Technician,,"04,06"
19-4099.00,Radiation Control Worker,,"04,06"
19-4099.00,Radiation Technician,,"04,06"
19-4099.00,Radiographer,,"04,06"
19-4099.00,Radioisotope Production Operator,,"04,06"
19-4099.00,Radiosonde Operator,,"04,06"
19-4099.00,Research Assistant,,06
19-4099.00,Science Technician,,04
19-4099.00,Scientific Aide,,"04,06"
19-4099.00,Scientific Helper,,08
19-4099.00,Smoke Tester,,"04,06"
19-4099.00,Sonoscope Operator,,"04,06"
19-4099.00,Submersible Pilot,,08
19-4099.00,Test and Research Reactor Operator,,06
19-4099.00,Tester,,06
19-4099.00,Textile Science Technician,,06
19-4099.00,Vector Control Assistant,,08
19-4099.00,Water Tester,,"04,06"
19-4099.00,Weather Observer,,"06,08"
19-4099.00,Weather Observer Technician,,08
19-4099.01,Chemistry Quality Control Analyst (Chemistry QC Analyst),Chemistry QC Analyst,08
19-4099.01,Chemistry Quality Control Technician (Chemistry QC Technician),Chemistry QC Technician,08
19-4099.01,Data Quality Analyst,,01
19-4099.01,Lab Analyst,,02
19-4099.01,Lab Technician (Lab Tech),Lab Tech,02
19-4099.01,Laboratory Analyst,,02
19-4099.01,Laboratory Technician (Lab Tech),Lab Tech,02
19-4099.01,Microbiology Lab Analyst,,02
19-4099.01,Microbiology Quality Control Technician (Microbiology QC Tech),Microbiology QC Tech,08
19-4099.01,Performance Quality Auditor,,10
19-4099.01,QA Analyst (Quality Assurance Analyst),QA Analyst,"02,08"
19-4099.01,QA Associate (Quality Assurance Associate),QA Associate,10
19-4099.01,QA Auditor (Quality Assurance Auditor),QA Auditor,"02,10"
19-4099.01,QA Lab Tech (Quality Assurance Lab Technician),QA Lab Tech,02
19-4099.01,QA Lab Tech (Quality Assurance Laboratory Technician),QA Lab Tech,10
19-4099.01,QA Specialist (Quality Assurance Specialist),QA Specialist,10
19-4099.01,QA Tech (Quality Assurance Technician),QA Tech,"02,08,10"
19-4099.01,Quality Analyst,,"02,08,10"
19-4099.01,Quality Assurance Coordinator (QA Coordinator),QA Coordinator,10
19-4099.01,Quality Auditor,,10
19-4099.01,Quality Control Analyst (QC Analyst),QC Analyst,"02,08,10"
19-4099.01,Quality Control Associate (QC Associate),QC Associate,08
19-4099.01,Quality Control Auditor (QC Auditor),QC Auditor,08
19-4099.01,Quality Control Checker (QC Checker),QC Checker,08
19-4099.01,Quality Control Expert (QC Expert),QC Expert,08
19-4099.01,Quality Control Lab Technician (QC Lab Tech),QC Lab Tech,02
19-4099.01,Quality Control Specialist (QC Specialist),QC Specialist,"08,10"
19-4099.01,Quality Control Technician (QC Tech),QC Tech,"02,08,10"
19-4099.01,Quality Control Tester (QC Tester),QC Tester,08
19-4099.01,Quality Controller,,08
19-4099.01,Quality Coordinator,,10
19-4099.01,Quality Improvement Specialist,,10
19-4099.01,Quality Process Auditor,,08
19-4099.01,Quality Specialist,,10
19-4099.01,Quality Systems Specialist,,10
19-4099.03,Commercial Drone Operator,,01
19-4099.03,Commercial Drone Pilot,,01
19-4099.03,Commercial Drone Technician,,01
19-4099.03,Digital Cartographic Technician,,02
19-4099.03,Document Image Technician,,10
19-4099.03,Drone Operator,,01
19-4099.03,Drone Pilot,,01
19-4099.03,Drone Technician,,01
19-4099.03,Geospatial Extractor,,02
19-4099.03,LIDAR Technician (Light Detection and Ranging Technician),LIDAR Technician,08
19-4099.03,Meteorologist Liaison,,02
19-4099.03,Remote Monitor,,10
19-4099.03,Remote Pilot,,01
19-4099.03,Remote Sensing Field Technician,,10
19-4099.03,Remote Sensing Monitoring Technician,,10
